name,wiki_slug,query,wiki_2020,hn_2020,pm_2020,wiki_2021,hn_2021,pm_2021,wiki_2022,hn_2022,pm_2022,wiki_2023,hn_2023,pm_2023,wiki_2024,hn_2024,pm_2024,wiki_2025,hn_2025,pm_2025,wiki_5yr_x,hn_5yr_x,pm_5yr_x,wiki_cagr,hn_cagr,pm_cagr,wiki_avg_views,hn_total,pm_total,quiet_trend,passes_size_gate,concept,monetization,arpu_year,proof,persona,log_wiki,rank_score
Sarcopenia / strength 50+,Sarcopenia,sarcopenia,85450,0,2577,84307,0,3163,89699,0,3354,112981,2,3503,180121,0,3950,156543,0,5039,2.107911059098888,,1.53279006596818,0.2049334767807946,,0.1126809926083378,118183.5,2,21586,0.2049334767807946,True,"Силовое приложение, заточенное на предотвращение саркопении: трекинг progressive overload, импорт DEXA/Inbody, еженедельная оценка «риска потери мышц» через grip-strength и sit-to-stand тесты на телефоне.","Подписка $14.99/мес, семейный план $24.99/мес (для пар 50+)",130,"Future $199/мес (1-на-1), Caliber $35/мес. Категория зрелая, но «специально для 50+» — белая дыра.","Мужчины/женщины 50-70, после врачебного предостережения или подкаста Peter Attia. Член зала, но без плана",5.072556847449187,1.1506503150492038
Hashimoto's / hypothyroid,Hashimoto's_thyroiditis,Hashimoto thyroid,663158,0,590,762325,0,586,609933,0,723,573962,0,735,568941,0,737,565595,0,754,0.8579267685830526,,1.249152542372881,-0.0375846200398648,,0.0571920023909018,623985.6666666666,0,4125,-0.0375846200398648,True,"Дашборд под щитовидку: трекер TSH/T4/T3, журнал смены препаратов (L-thyroxin vs NDT vs LDN), лог глютена и симптомов.","Подписка $9.99/мес + аффилиат на bloodwork-тесты (Quest, Labcorp, InsideTracker)",100,Paloma Health (полный телемед) $99/мес. Книги Stop The Thyroid Madness продаются миллионами. ~20M американцев с гипотиреозом.,"Женщина 30-55, недавно начала лечение, лучше не становится, ищет альтернативы",5.7951746137864815,1.0912103768334436
Pelvic floor,Pelvic_floor,pelvic floor,180216,0,1327,145863,0,1570,135857,0,1580,122325,0,1508,145469,0,1498,114066,2,1837,0.8071924801349492,,1.1288620949510173,-0.0521398242058062,,0.0307663270354898,140632.66666666666,2,9320,-0.0521398242058062,True,"Гайдед упражнения Кегеля + pelvic-floor PT с биофидбеком через акселерометр (детект позы через карман). Основные use-cases: postpartum, перименопауза, после простатэктомии.","Подписка $14.99/мес + апселл девайса биофидбека ($129 разово, низкая маржа)",130,"Elvie ($199 девайс + бесплатное приложение), Kegel Trainer freemium. PT-приложение Origin привлекло $24M.",Женщина 30-50 после родов ИЛИ 50+ в перименопаузе; мужчина 60+ после операции на простате,5.148086211901795,0.8028050457956066
Histamine intolerance,Histamine_intolerance,histamine intolerance,52954,0,15,63137,0,14,65828,0,25,73714,0,22,94087,0,16,83509,0,37,1.7767685160705518,,1.0666666666666669,0.1545366198012741,,0.0162654963092294,72204.83333333333,0,129,0.1545366198012741,True,"База данных low-histamine продуктов (~3000 SKU), генератор meal-plan, рецепты для batch-cook; symptom tracker (на том же движке, что MCAS).",Подписка $7.99/мес (в основном content lock); $29 разово за «стартер-pack» PDF,60,Mast Cell 360 (платный курс $400+) подтверждает готовность платить; мобильного лидера нет.,"Женщина 30-55, недавно начала элиминационную диету, тонет в списках",4.858566269865188,0.8001636898263268
Caregiver burnout,Caregiver,caregiver burnout,90614,0,1085,68895,0,1157,64485,0,1327,99999,0,1277,96724,0,1431,70664,0,1930,1.067428874125411,,1.31889400921659,0.016446995761232,,0.0716487800284064,81896.83333333333,0,8207,0.016446995761232,True,"Self-tracker для ухаживающего: стресс-скор (HRV через камеру телефона), планировщик передышек, peer-support match, эскалация триггеров («ты спал <5ч три ночи подряд — звони запасному»).","Подписка $9.99/мес + B2B (employer benefit, Medicaid waiver программы)",90,Cariloop $30M Series B; Wellthy $25M; AARP запускает программы для caregivers.,"Женщина 50-65, ухаживает за родителем с деменцией, год не была у своего врача",4.9132671094228435,0.7084253030729322
Cat health tracking,Cat_health,cat health tracker,10723,0,1,11004,0,2,13144,0,1,16148,0,1,27357,0,2,14437,0,1,2.55124498741024,,2.0,0.263828198521209,,0.189207115002721,15468.833333333334,0,8,0.263828198521209,True,"Фото лотка → AI-анализ мочи/стула (консистенция, кровь, объём); лог еды и воды; кривая веса. Целевой сегмент — старшие коты (10+), где ХБП — ведущая причина смерти.","Подписка $7.99/мес + аффилиат (лечебные корма «почечная диета», supplements) ~15%",80,Pretty Litter ($30/мес) и CatGenie доказали готовность платить у владельцев старших кошек.,"Владелец кота 35+, кот 10+ лет, счета у ветеринара растут",4.189457560240934,0.692016071398252
Dog longevity / senior dog,Dog_health,dog longevity senior,22682,0,1,19628,0,1,19895,1,0,28683,0,2,27168,0,6,32766,0,0,1.1977779737236576,,6.0,0.0461502920127547,,0.5650845800732873,25137.0,1,10,0.0461502920127547,True,"Индекс старения для собак: еженедельная оценка (когниция, мобильность, сон, аппетит), планировщик кормления и supplements, дашборд для шеринга с ветом. Вдохновлено Dog Aging Project.","Подписка $9.99/мес + supplement-подписка (Rejuvenate Bio, NuVet) с аффилиат-комиссией",100,Loyal привлекли $125M на препарат собачьего долголетия. В Dog Aging Project зарегистрировано 50k+ собак.,"Владелец собаки 40+, собаке 7+ лет, владелец читает медицинские статьи",4.40031344514033,0.5193821605892969
Fall prevention (elderly),Falls_in_older_adults,fall prevention elderly,9693,0,807,6387,0,808,5282,0,695,6386,0,660,12501,0,930,12084,0,1347,1.2896935933147633,,1.1524163568773234,0.0656672900710795,,0.0361016216985332,8722.166666666666,0,5247,0.0656672900710795,True,"Приложение, которое ставит ухаживающий: фиксирует походку через телефон в кармане, напоминает о силовых тестах, шлёт push-уведомления семье при ухудшении. Apple Watch fall detect ловит уже свершившееся; это — *профилактика*.",Семейная подписка $19.99/мес (платит взрослый ребёнок); B2B-тиф для home-care агентств $30/пациент/мес,200,"Papa, Honor — хорошо профинансированные сервисы домашнего ухода. У Apple Health профилактики падений нет.","Взрослый ребёнок (45-60) пожилого родителя (75+), у родителя недавно был «почти-упал»",3.940624381090227,0.46932812348372344
Picky eater (toddler),Selective_eating,picky eater toddler,0,0,0,0,0,0,0,0,0,1267,1,0,5810,0,1,13145,0,0,,,,,,,3370.333333333333,1,1,0.0,False,Генератор meal-plan + челлендж «первые 7 кусочков» + фотолог принятых продуктов; AI генерирует план «следующего шага» для конкретного ребёнка. На базе responsive-feeding метода Ellyn Satter.,Подписка $9.99/мес или $59/год; семейный план $14.99/мес (несколько детей),80,Yumble (готовые меню) и Solid Starts (платный курс $99 + приложение) доказывают готовность платить. 30%+ малышей — picky eaters.,"Мама ребёнка 2-5 лет, выгоревшая, винит себя, гуглит «мой ребёнок ничего не ест»",3.5276728556690498,-0.03461857866950335
Baby sleep training,Sleep_training,baby sleep training,190,1,159,181,0,154,208,3,167,203,0,186,411,1,198,826,0,205,2.163157894736842,1.0,1.2452830188679245,0.212752155593183,0.0,0.0563723286803774,336.5,5,1069,0.212752155593183,False,"Персонализированный генератор расписания сна + лог дневных снов и wake-windows + акустический монитор (микрофон детектит длительность плача и паттерн). Без привязки к одному методу (Ferber, chair, hybrid).",Разовый IAP $19.99 за «план» + $4.99/мес за продолжение трекинга,50,"Huckleberry $69/год, Hatch Rest (железо + приложение), курс Taking Cara Babies $179. Огромный engaged рынок.","Родитель ребёнка 3-12 мес, не спит, гуглит в 3 ночи",2.5269850685599957,-0.3178942301622183
